"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OC_REICHELT";
"1";"";"FE07-2";"FE07-2";"SV3";"FEMALE HEADER";"";"";"";"";"";
"1";"";"MA03-2";"MA03-2";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"";
"2";"100n";"C-EUC0603";"C0603";"C1, C5";"CAPACITOR, European symbol";"";"";"";"";"X7R-G0603 100N";
"1";"10k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"RND 0603 1 10K";
"2";"10p";"C-EUC0603";"C0603";"C3, C4";"CAPACITOR, European symbol";"";"";"";"";"X7R-G0603 10p";
"1";"12M";"SMD4PADMJ";"MJ";"Q3";"";"";"";"";"";"12,000000-MJ";
"3";"1k";"R-EU_R0603";"R0603";"R14, R15, R16";"RESISTOR, European symbol";"";"";"";"";"RND 0603 1 1K";
"1";"1n";"C-EUC0603";"C0603";"C15";"CAPACITOR, European symbol";"";"";"";"";"X7R-G0603 1np";
"1";"2k2";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"";"";"";"";"RND 0603 1 2,2K";
"1";"2u2";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";"";"";"";"KEM X5R0805 2,2U";
"1";"470";"R-EU_R0603";"R0603";"R13";"RESISTOR, European symbol";"";"";"";"";"RND 0603 1 470";
"1";"6N137";"6N137";"DIL08";"OK2";"MOTOROLA OPTO COUPLER";"";"6N137";"1328376";"52M1895";"6N 137";
"1";"BSS138";"BSS138";"SOT23";"Q1";"";"";"";"9845330";"";"BSS 138 SMD";
"1";"DUMMY";"DUMMY";"DUMMY";"U$1";"";"";"";"";"";"EB-DIO M08";
"2";"DUMMY";"DUMMY";"DUMMY";"U$2, U$3";"";"";"";"";"";"SE-DIO M08";
"1";"MEGA48/88/168-AU";"MEGA48/88/168-AU";"TQFP32-08";"IC3";"";"";"";"";"";"ATMEGA 88PA-AU";
"1";"MINIDIN8";"MINIDIN8";"MINI-DIN8";"X3";"";"";"";"";"";"EB-DIOS M08";
"3";"na";"C-EUC0603";"C0603";"C7, C11, C14";"CAPACITOR, European symbol";"";"";"";"";"X7R-G0603 220p";
